Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
NEC,g05_5.8,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.9,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.0,ar1.00e-02_rt0.25_ia-mu_max_gpf24.0,gamma_factor=24.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.1,ar1.00e-02_rt0.5_ia-mu_max_gpf22.0,gamma_factor=22.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.2,ar1.00e-02_rt0.25_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.3,ar1.00e-02_rt0.5_ia-mu_max_gpf21.0,gamma_factor=21.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.4,ar1.00e-02_rt0.5_ia-mu_max_gpf13.0,gamma_factor=13.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.5,ar1.00e-02_rt0.5_ia-mu_max_gpf20.0,gamma_factor=20.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.6,ar1.00e-02_rt0.25_ia-mu_max_gpf25.0,gamma_factor=25.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.7,ar1.00e-02_rt0.5_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.8,ar1.00e-02_rt0.75_ia-mu_max_gpf22.0,gamma_factor=22.00,r_target=0.75,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.9,ar1.00e-02_rt0.5_ia-mu_max_gpf19.0,gamma_factor=19.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.0,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.1,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf1.5",gamma_factor=1.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.2,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.3,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.4,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.5,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.6,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.7,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.8,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.0",gamma_factor=0.00,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_10.9,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
Sigmoid PM,g05_20.0,"a-10.0_blin((1-alpha)/mu_max, (1-alpha)/mu_max + 20)_gf0.5",gamma_factor=0.50,alpha=-10.00,0.00,0.00,0.00,0.00,100.00
