Model,Graph,param_id,Hyperparameter 1,Hyperparameter 2,Mean rel. gap (%),Median rel. gap (%),Min rel. gap (%),Std rel. gap (%),Success rate (%)
NEC,g05_5.7,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.8,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_5.9,ar1.00e-02_rt0.0_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.00,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.0,ar1.00e-02_rt0.25_ia-mu_max_gpf24.0,gamma_factor=24.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.1,ar1.00e-02_rt0.5_ia-mu_max_gpf22.0,gamma_factor=22.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.2,ar1.00e-02_rt0.25_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.3,ar1.00e-02_rt0.5_ia-mu_max_gpf21.0,gamma_factor=21.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.4,ar1.00e-02_rt0.5_ia-mu_max_gpf13.0,gamma_factor=13.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.5,ar1.00e-02_rt0.5_ia-mu_max_gpf20.0,gamma_factor=20.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.6,ar1.00e-02_rt0.25_ia-mu_max_gpf25.0,gamma_factor=25.00,r_target=0.25,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.7,ar1.00e-02_rt0.5_ia-mu_max_gpf1.0,gamma_factor=1.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.8,ar1.00e-02_rt0.75_ia-mu_max_gpf22.0,gamma_factor=22.00,r_target=0.75,0.00,0.00,0.00,0.00,100.00
NEC,g05_50.9,ar1.00e-02_rt0.5_ia-mu_max_gpf19.0,gamma_factor=19.00,r_target=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.0,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.0",poly_order=10.00,gamma_factor=0.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.1,"po10_blin(1/mu_max, 1/mu_max + 2)_gf1.5",poly_order=10.00,gamma_factor=1.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.2,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.3,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.4,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.5,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.6,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.7,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.8,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.0",poly_order=10.00,gamma_factor=0.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_10.9,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_20.0,"po10_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=10.00,gamma_factor=1.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_20.1,"po10_blin(1/mu_max, 1/mu_max + 2)_gf2.0",poly_order=10.00,gamma_factor=2.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_20.2,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=3.00,gamma_factor=1.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_20.3,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.0",poly_order=3.00,gamma_factor=2.00,1.30,1.22,0.00,1.03,31.00
Polynomial PM,g05_20.4,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_20.5,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.5",poly_order=3.00,gamma_factor=2.50,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_20.6,"po8_blin(1/mu_max, 1/mu_max + 2)_gf2.5",poly_order=8.00,gamma_factor=2.50,1.05,1.20,0.00,0.41,13.00
Polynomial PM,g05_20.7,"po3_blin(1/mu_max, 1/mu_max + 2)_gf3.5",poly_order=3.00,gamma_factor=3.50,0.66,0.00,0.00,0.86,58.00
Polynomial PM,g05_20.8,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.0",poly_order=10.00,gamma_factor=0.00,1.18,1.27,0.00,1.25,42.00
Polynomial PM,g05_20.9,"po9_blin(1/mu_max, 1/mu_max + 2)_gf6.5",poly_order=9.00,gamma_factor=6.50,1.06,1.22,0.00,0.94,36.00
Polynomial PM,g05_30.0,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.0",poly_order=3.00,gamma_factor=2.00,0.79,1.06,0.00,0.47,26.00
Polynomial PM,g05_30.1,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.5",poly_order=3.00,gamma_factor=2.50,0.13,0.00,0.00,0.32,83.00
Polynomial PM,g05_30.2,"po6_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=6.00,gamma_factor=0.50,0.56,0.00,0.00,0.72,61.00
Polynomial PM,g05_30.3,"po10_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=10.00,gamma_factor=1.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_30.4,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.5",poly_order=3.00,gamma_factor=1.50,0.16,0.00,0.00,0.49,90.00
Polynomial PM,g05_30.5,"po10_blin(1/mu_max, 1/mu_max + 2)_gf3.0",poly_order=10.00,gamma_factor=3.00,1.29,1.12,0.00,0.72,1.00
Polynomial PM,g05_30.6,"po5_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=5.00,gamma_factor=1.00,1.11,1.13,0.00,0.68,14.00
Polynomial PM,g05_30.7,"po6_blin(1/mu_max, 1/mu_max + 2)_gf1.5",poly_order=6.00,gamma_factor=1.50,0.67,0.56,0.00,0.47,6.00
Polynomial PM,g05_30.8,"po6_blin(1/mu_max, 1/mu_max + 2)_gf3.5",poly_order=6.00,gamma_factor=3.50,1.28,1.11,0.00,0.73,12.00
Polynomial PM,g05_30.9,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.0",poly_order=10.00,gamma_factor=0.00,2.87,2.79,0.56,1.54,0.00
Polynomial PM,g05_40.0,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.0",poly_order=10.00,gamma_factor=0.00,1.72,1.87,0.62,0.80,0.00
Polynomial PM,g05_40.1,"po3_blin(1/mu_max, 1/mu_max + 2)_gf2.5",poly_order=3.00,gamma_factor=2.50,0.69,0.98,0.00,0.39,21.00
Polynomial PM,g05_40.2,"po3_blin(1/mu_max, 1/mu_max + 2)_gf3.5",poly_order=3.00,gamma_factor=3.50,0.58,0.98,0.00,0.50,41.00
Polynomial PM,g05_40.3,"po3_blin(1/mu_max, 1/mu_max + 2)_gf5.0",poly_order=3.00,gamma_factor=5.00,1.26,1.26,0.00,0.69,14.00
Polynomial PM,g05_40.4,"po4_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=4.00,gamma_factor=1.00,0.01,0.00,0.00,0.06,99.00
Polynomial PM,g05_40.5,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=3.00,gamma_factor=1.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_40.6,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.5",poly_order=10.00,gamma_factor=0.50,0.80,0.81,0.00,0.35,8.00
Polynomial PM,g05_40.7,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=3.00,gamma_factor=1.00,0.00,0.00,0.00,0.00,100.00
Polynomial PM,g05_40.8,"po5_blin(1/mu_max, 1/mu_max + 2)_gf2.5",poly_order=5.00,gamma_factor=2.50,0.68,0.97,0.00,0.47,26.00
Polynomial PM,g05_40.9,"po3_blin(1/mu_max, 1/mu_max + 2)_gf1.0",poly_order=3.00,gamma_factor=1.00,0.36,0.00,0.00,0.90,86.00
Polynomial PM,g05_5.0,"po10_blin(1/mu_max, 1/mu_max + 2)_gf0.0",poly_order=10.00,gamma_factor=0.00,0.00,0.00,0.00,0.00,100.00
